atoD,atoA,atoB
ugpB,ugpA,ugpE,ugpC,ugpQ
yjeF,yjeE,amiB,mutL,miaA,hfq
hycA,hycB,hycC,hycD,hycE,hycF,hycG,hycH
kdtA,kdtB
agaZ,agaV,agaW,agaA,agaS,agaY,agaB,agaC,agaD,agaI
nrfA,nrfB,nrfC,nrfD,nrfE,nrfF,nrfG
rnc,era,recO
btuC,btuE,btuD
narX,narL
fliF,fliG,fliH,fliI,fliJ,fliK
artP,artI,artQ,artM,artJ
ccmA,ccmB,ccmC,ccmD,ccmE,ccmF,dsbE,ccmH
ptsH,ptsI,crr
561,560
yhdG,fis,yhdJ
livK,livH,livM,livG,livF
sucA,sucB,sucC,sucD
dnaK,dnaJ
dcd,yegA
queA,tgt,yajC,secD,secF
rph,pyrE
cysD,cysN,cysC
rpiA,serA
mrdA,mrdB
hyaA,hyaB,hyaC,hyaD,hyaE,hyaF
csgD,csgE,csgF,csgG
thrA,thrB,thrC
dcm,vsr
hydH,hydG
purM,purN
lldP,lctR,lctD
rplM,rpsI
malK,lamB,malM
rpsU,dnaG,rpoD
dadA,dadX
amiA,hemF
rplN,rplX,rplE,rpsN,rpsH,rplF,rplR,rpsE,rpmD,rplO,prlA,rpmJ
trpE,trpD,trpC,trpB,trpA
fliA,fliZ,fliY
kdpA,kdpB,kdpC,kdpD,kdpE
nirB,nirD,nirC
def,fmt,fmu
prfB,lysS
fabD,fabG,acpP
glvC,glvB,glvG
marR,marA,marB
caiT,caiA,caiB,caiC,caiD,caiE
araB,araA,araD
fruB,fruK,fruA
yceD,rpmF
malE,malF,malG
yhbN,yhbG,rpoN,yhbH,ptsN,3135,ptsO
flgA,flgM,flgN
dmsA,dmsB,dmsC
pyrB,pyrI
yhfG,fic,pabA
uxaC,uxaA
pdxJ,acpS
mdoG,mdoH
fucP,fucI,fucK,fucU,fucR
1848,flhA
nrdE,nrdF
ubiC,ubiA
speF,potE
glgB,glgX,glgC,glgA,glgP
chpS,chpB
aceB,aceA,aceK
nagB,nagA,nagC,nagD
smtA,mukF,mukE,mukB
ackA,pta
clpP,clpX
rpsF,priB,rpsR,rplI
thiC,thiE,thiF,thiG,thiH
accB,accC
rpsJ,rplC,rplD,rplW,rplB,rpsS,rplV,rpsC,rplP,rpmC,rpsQ
acrE,acrF
motA,motB,cheA,cheW
nrdA,nrdB
pdxB,usg,truA,dedA,accD
ptr,recB,recD
ilvG_1,ilvM,ilvE,ilvD,ilvA
glcD,2912,glcG,glcB
serB,sms
fdnG,fdnH,fdnI
lpxD,fabZ,lpxA,lpxB,rnhB,dnaE,accA
sapA,sapB,sapC,sapD,sapF
bglG,bglF,bglB
tnaA,tnaB
dsdX,dsdA
rpsO,pnp
hflX,hflK,hflC
torC,torA,torD
glpF,glpK
entC,entE,entB,entA
hipB,hipA
gatY,gatZ,gatA,gatB,gatC,gatD
atpI,atpB,atpE,atpF,atpH,atpA,atpG,atpD,atpC
proB,proA
dfp,dut,ttk
dppA,dppB,dppC,dppD,dppF
surA,pdxA,ksgA,apaG,apaH
ybaB,recR
tar,tap,cheR,cheB,cheY,cheZ
guaB,guaA
nikA,nikB,nikC,nikD,nikE
ilvB,ilvN
pspA,pspB,pspC,pspD,pspE
acrA,acrB
galE,galT,galK,galM
frvA,frvB,frvX
hemC,hemD,hemX,hemY
rpsM,rpsK,rpsD,rpoA,rplQ
nuoA,nuoB,2244,nuoE,nuoF,nuoG,nuoH,nuoI,nuoJ,nuoK,nuoL,nuoM,nuoN
cpxR,cpxA
ttdA,ttdB
murG,murC,ddlB
carA,carB
pqiA,pqiB
tehA,tehB
deoC,deoA,deoB,deoD
flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI
mglB,mglA,mglC
metB,metL
malX,malY
baeS,baeR
gltB,gltD,gltF
appC,appB,appA
atoS,atoC
csgB,csgA
codB,codA
otsB,otsA
menF,menD,yfbB,menB,menC,menE
phoB,phoR
rbfA,truB
uxuA,uxuB
rpsL,rpsG,fusA,tufA
ppk,ppx
mopB,mopA
ompR,envZ
bioB,bioF,bioC,bioD
creA,creB,creC,creD
rpsB,tsf,pyrH,frr
melA,melB
modA,modB,modC
cvpA,purF,ubiX
tdcA,tdcB,tdcC
cmk,rpsA
cobU,cobS,cobT
gntK,gntU_1,gntU_2
frdA,frdB,frdC,frdD
argC,argB,argH
rplK,rplA
pheS,pheT
phoP,phoQ
phnC,phnD,phnE,3998,phnF,phnG,phnH,phnI,phnJ,phnK,phnL,phnM,phnN,phnO,phnP,phnQ
fhuA,fhuC,fhuD,fhuB
rplU,rpmA
moaA,moaB,moaC,moaD,moaE
rpsP,yfjA,trmD,rplS
hisG,hisD,hisC,hisB,hisH,hisA,hisF,hisI
rfbB,rfbD,rfbA,rfbC,rfbX,yefE,rfc,yefG,yefH,yefI
araF,araG,1867,araH
arsR,arsB,arsC
glnH,glnP,glnQ
xylF,xylG,xylH,xylR
lepA,lepB
yaaC,ileS,lspA
ascF,ascB
rbsD,rbsA,rbsC,rbsB,rbsK
feoA,feoB
aroF,tyrA
ilvI,ilvH
rhaB,rhaA,rhaD
aceE,aceF,lpdA
fepD,fepG,fepC
hypA,hypB,hypC,hypD,hypE
gmk,rpoZ,spoT,spoU,recG
ecpD,htrE
rpmH,rnpA
glnA,glnL,glnG
339,mhpB,341,342,mhpE,344
flhD,flhC
purE,purK
sdaC,sdaB
rfaQ,rfaG,rfaP,rfaS,rfaB,rfaI,rfaJ
malP,malQ
gltJ,gltK,gltL
cynT,cynS,cynX
fadB,fadA
speE,speD
uidA,uidB,gusC
srlA_1,srlA_2,srlB,srlD,gutM,srlR,gutQ
pyrF,yciH
sspA,sspB
ampD,ampE
lacZ,lacY,lacA
napA,napG,napH,napB,napC
ebgA,ebgC,ygjI
leuA,leuB,leuC,leuD
proV,proW,proX
narZ,narY,narW,narV
umuD,umuC
xapA,xapB
uvrY,uvrC
fliD,fliS,fliT
dnaT,dnaC
celA,celB,celC,celD,celF
secE,nusG
sdhC,sdhD,sdhA,sdhB
moeA,moeB
dnaA,dnaN,recF
fecA,fecB,fecC,fecD,fecE
rplJ,rplL,rpoB,rpoC
hisM,hisP
fixA,fixB,fixC
dapA,nlpB
relA,chpR,chpA,mazG
ftsY,ftsE,ftsX
ruvA,ruvB
edd,eda
fliL,fliM,fliN,fliO,fliP,fliQ,fliR
pdxH,tyrS
ada,alkB
rstA,rstB
flgK,flgL
cadB,cadA
basR,basS
cyoA,cyoB,cyoC,cyoD,cyoE
fucA,fucO
potF,potG,potH,potI
cysP,cysU,cysW,cysA,cysM
kbl,tdh
tolQ,tolR,tolA,tolB
folC,dedD
purH,purD
mtlA,mtlD
yhbC,nusA,infB
glmU,glmS
upp,uraA
hemA,prfA,hemK,1186,ychA,kdsA
ydfA,ydfB,ydfC,dicB,ydfD,ydfE
glpT,glpQ
manX,manY,manZ
cysJ,cysI,cysH
panF,prmA
uhpA,uhpB,uhpC,uhpT
cydA,cydB
glyQ,glyS
aroK,aroB,damX,dam,rpe,gph,trpS
glpA,glpB,glpC
treB,treC
narG,narH,narJ,narI
oppA,oppB,oppC,oppD,oppF
hybA,hybB,hybC,hybD,hybE,hybF,hybG
gcvT,gcvH,gcvP
